Day,Node,Demand
31,Melbourne,262.688
31,Sydney,220.585
32,APLNG,3573.316
32,Adelaide,32.411
32,Brisbane,121.887
32,Melbourne,193.787
32,Sydney,212.55700000000002
33,APLNG,3579.6130000000003
33,Adelaide,23.474
33,Brisbane,110.334
33,Melbourne,247.326
33,Sydney,188.444
34,APLNG,3669.733
34,Adelaide,24.231
34,Brisbane,110.447
34,Melbourne,237.489
34,Sydney,188.274
35,APLNG,3742.952
35,Adelaide,35.309
35,Brisbane,127.494
35,Melbourne,234.962
35,Sydney,207.46
36,APLNG,3795.134
36,Adelaide,36.135000000000005
36,Brisbane,126.145
36,Melbourne,180.766
36,Sydney,205.385
37,APLNG,3514.167
37,Adelaide,42.159
37,Brisbane,128.362
37,Melbourne,239.73
37,Sydney,194.499
38,APLNG,3736.079
38,Adelaide,45.478
38,Brisbane,128.723
38,Melbourne,212.491
38,Sydney,209.123
39,APLNG,3689.568
39,Adelaide,43.346999999999994
39,Brisbane,123.781
39,Melbourne,174.603
39,Sydney,199.48999999999998
40,APLNG,3608.308
40,Adelaide,35.798
40,Brisbane,107.881
40,Melbourne,183.075
40,Sydney,179.297
41,APLNG,3843.4799999999996
41,Adelaide,38.059
41,Brisbane,111.566
41,Melbourne,169.558
41,Sydney,191.472
42,APLNG,3762.527
42,Adelaide,45.187
42,Brisbane,130.669
42,Melbourne,183.7
42,Sydney,209.02700000000002
43,APLNG,3641.415
43,Adelaide,49.774
43,Brisbane,126.343
43,Melbourne,224.626
43,Sydney,210.817
44,APLNG,3557.937
44,Adelaide,48.717
44,Brisbane,129.335
44,Melbourne,237.158
44,Sydney,221.14399999999998
45,APLNG,3642.591
45,Adelaide,48.003
45,Brisbane,129.333
45,Melbourne,214.282
45,Sydney,220.26299999999998
46,APLNG,3617.653
46,Adelaide,43.586
46,Brisbane,123.296
46,Melbourne,185.79600000000002
46,Sydney,206.292
47,APLNG,3660.8599999999997
47,Adelaide,35.754000000000005
47,Brisbane,106.701
47,Melbourne,162.14499999999998
47,Sydney,184.501
48,APLNG,3499.331
48,Adelaide,33.064
48,Brisbane,104.405
48,Melbourne,202.089
48,Sydney,188.347
49,APLNG,3532.997
49,Adelaide,45.589999999999996
49,Brisbane,132.683
49,Melbourne,200.456
49,Sydney,203.744
50,APLNG,3701.734
50,Adelaide,47.504000000000005
50,Brisbane,133.675
50,Melbourne,221.012
50,Sydney,209.979
51,APLNG,3731.806
51,Adelaide,46.784
51,Brisbane,136.732
51,Melbourne,224.57899999999998
51,Sydney,217.698
52,APLNG,3598.919
52,Adelaide,48.093999999999994
52,Brisbane,134.669
52,Melbourne,223.175
52,Sydney,223.00900000000001
53,APLNG,3750.011
53,Adelaide,43.251000000000005
53,Brisbane,127.612
53,Melbourne,189.15200000000002
53,Sydney,194.649
54,APLNG,3765.273
54,Adelaide,36.386
54,Brisbane,103.582
54,Melbourne,160.986
54,Sydney,167.753
55,APLNG,3831.504
55,Adelaide,36.798
55,Brisbane,107.354
55,Melbourne,194.314
55,Sydney,193.64600000000002
56,APLNG,3871.5299999999997
56,Adelaide,42.899
56,Brisbane,130.936
56,Melbourne,193.46
56,Sydney,217.176
57,APLNG,3690.517
57,Adelaide,40.634
57,Brisbane,131.534
57,Melbourne,189.506
57,Sydney,218.244
58,APLNG,3865.919
58,Adelaide,42.73
58,Brisbane,109.038
58,Melbourne,185.593
58,Sydney,214.27900000000002
59,APLNG,3643.677
59,Adelaide,43.30500000000001
59,Brisbane,98.507
59,Melbourne,228.068
59,Sydney,214.115
60,APLNG,3592.9129999999996
60,Adelaide,39.351
60,Brisbane,92.539
60,Melbourne,211.945
60,Sydney,205.353
61,APLNG,3799.002
61,Adelaide,32.769
61,Brisbane,78.596
61,Melbourne,203.393
61,Sydney,185.16899999999998
62,APLNG,3664.0879999999997
62,Adelaide,34.476
62,Brisbane,82.263
62,Melbourne,222.433
62,Sydney,189.126
63,APLNG,3673.646
63,Adelaide,44.594
63,Brisbane,108.103
63,Melbourne,239.875
63,Sydney,211.695
64,APLNG,3668.5209999999997
64,Adelaide,45.927
64,Brisbane,116.556
64,Melbourne,213.706
64,Sydney,216.22400000000002
65,APLNG,3634.047
65,Adelaide,49.854
65,Brisbane,118.867
65,Melbourne,231.638
65,Sydney,217.649
66,APLNG,3636.71
66,Adelaide,47.355000000000004
66,Brisbane,118.806
66,Melbourne,217.163
66,Sydney,222.25900000000001
67,APLNG,3724.7290000000003
67,Adelaide,32.804
67,Brisbane,118.59
67,Melbourne,199.579
67,Sydney,210.68
68,APLNG,3713.334
68,Adelaide,35.115
68,Brisbane,99.099
68,Melbourne,152.981
68,Sydney,191.478
69,APLNG,3724.865
69,Adelaide,35.364000000000004
69,Brisbane,96.437
69,Melbourne,147.75
69,Sydney,189.845
70,APLNG,3617.008
70,Adelaide,39.797
70,Brisbane,121.526
70,Melbourne,158.374
70,Sydney,217.228
71,APLNG,3182.68
71,Adelaide,46.406000000000006
71,Brisbane,120.599
71,Melbourne,225.419
71,Sydney,225.469
72,APLNG,2849.547
72,Adelaide,50.722
72,Brisbane,122.145
72,Melbourne,272.68
72,Sydney,229.326
73,APLNG,3503.1639999999998
73,Adelaide,48.787000000000006
73,Brisbane,121.129
73,Melbourne,292.426
73,Sydney,228.609
74,APLNG,3447.197
74,Adelaide,47.197
74,Brisbane,113.916
74,Melbourne,210.517
74,Sydney,211.944
75,APLNG,3552.649
75,Adelaide,38.256
75,Brisbane,91.966
75,Melbourne,165.155
75,Sydney,196.03799999999998
76,APLNG,3626.8669999999997
76,Adelaide,38.189
76,Brisbane,93.801
76,Melbourne,175.612
76,Sydney,201.43699999999998
77,APLNG,3632.361
77,Adelaide,44.771
77,Brisbane,117.992
77,Melbourne,179.525
77,Sydney,222.00300000000001
78,APLNG,3573.101
78,Adelaide,47.217
78,Brisbane,116.426
78,Melbourne,187.143
78,Sydney,228.454
79,APLNG,3535.224
79,Adelaide,46.751
79,Brisbane,116.125
79,Melbourne,185.318
79,Sydney,225.686
80,APLNG,3561.327
80,Adelaide,46.528999999999996
80,Brisbane,115.083
80,Melbourne,223.567
80,Sydney,226.423
81,APLNG,3598.639
81,Adelaide,47.473
81,Brisbane,116.148
81,Melbourne,242.34199999999998
81,Sydney,204.238
82,APLNG,3617.076
82,Adelaide,39.172000000000004
82,Brisbane,91.407
82,Melbourne,212.04399999999998
82,Sydney,165.844
83,APLNG,3654.353
83,Adelaide,39.248999999999995
83,Brisbane,95.734
83,Melbourne,214.62300000000002
83,Sydney,168.526
84,APLNG,3645.654
84,Adelaide,50.739000000000004
84,Brisbane,122.824
84,Melbourne,282.556
84,Sydney,194.287
85,APLNG,3659.827
85,Adelaide,50.68300000000001
85,Brisbane,123.374
85,Melbourne,308.628
85,Sydney,202.561
86,APLNG,3826.457
86,Adelaide,49.751000000000005
86,Brisbane,126.63
86,Melbourne,316.461
86,Sydney,205.14
87,APLNG,3862.777
87,Adelaide,47.577
87,Brisbane,124.534
87,Melbourne,277.154
87,Sydney,195.705
88,APLNG,3804.066
88,Adelaide,48.789
88,Brisbane,116.756
88,Melbourne,237.041
88,Sydney,200.33
89,APLNG,3741.623
89,Adelaide,45.0
89,Brisbane,62.311
89,Melbourne,378.728
89,Sydney,209.985
90,APLNG,3645.557
90,Adelaide,43.508
90,Brisbane,65.875
90,Melbourne,351.084
90,Sydney,213.562
91,APLNG,3493.306
91,Adelaide,51.731
91,Brisbane,81.165
91,Melbourne,431.18
91,Sydney,243.422
92,APLNG,3576.166
92,Adelaide,50.0
92,Brisbane,80.846
92,Melbourne,349.424
92,Sydney,242.65200000000002
93,APLNG,3625.759
93,Adelaide,49.873000000000005
93,Brisbane,79.994
93,Melbourne,295.291
93,Sydney,250.08100000000002
94,APLNG,3642.1040000000003
94,Adelaide,48.128
94,Brisbane,81.546
94,Melbourne,277.562
94,Sydney,247.093
95,APLNG,3648.4579999999996
95,Adelaide,46.959
95,Brisbane,76.002
95,Melbourne,219.748
95,Sydney,221.269
96,APLNG,3675.2799999999997
96,Adelaide,40.321
96,Brisbane,65.469
96,Melbourne,245.113
96,Sydney,193.171
97,APLNG,3652.771
97,Adelaide,39.823
97,Brisbane,74.202
97,Melbourne,219.515
97,Sydney,198.555
98,APLNG,3578.16
98,Adelaide,50.071
98,Brisbane,89.115
98,Melbourne,262.371
98,Sydney,214.27100000000002
99,APLNG,3547.469
99,Adelaide,55.855999999999995
99,Brisbane,87.672
99,Melbourne,401.288
99,Sydney,229.199
100,APLNG,3504.77
100,Adelaide,56.794
100,Brisbane,90.33
100,Melbourne,467.303
100,Sydney,246.61899999999997
101,APLNG,3282.8010000000004
101,Adelaide,54.939
101,Brisbane,87.039
101,Melbourne,428.973
101,Sydney,245.814
102,APLNG,3694.571
102,Adelaide,49.652
102,Brisbane,83.349
102,Melbourne,374.408
102,Sydney,236.365
103,APLNG,3654.496
103,Adelaide,42.724000000000004
103,Brisbane,70.417
103,Melbourne,299.853
103,Sydney,212.87099999999998
104,APLNG,3657.253
104,Adelaide,39.357
104,Brisbane,72.46
104,Melbourne,236.323
104,Sydney,206.822
105,APLNG,3635.5389999999998
105,Adelaide,49.02
105,Brisbane,86.81
105,Melbourne,246.523
105,Sydney,235.287
106,APLNG,3714.887
106,Adelaide,48.525999999999996
106,Brisbane,85.004
106,Melbourne,224.449
106,Sydney,235.82
107,APLNG,3772.725
107,Adelaide,50.35
107,Brisbane,85.634
107,Melbourne,222.557
107,Sydney,239.373
108,APLNG,3831.54
108,Adelaide,46.02
108,Brisbane,80.057
108,Melbourne,258.71
108,Sydney,218.891
109,APLNG,3833.739
109,Adelaide,35.659000000000006
109,Brisbane,66.339
109,Melbourne,246.543
109,Sydney,193.32500000000002
110,APLNG,3841.141
110,Adelaide,35.608000000000004
110,Brisbane,65.795
110,Melbourne,199.604
110,Sydney,195.88500000000002
111,APLNG,3902.909
111,Adelaide,37.468999999999994
111,Brisbane,61.143
111,Melbourne,183.989
111,Sydney,177.859
112,APLNG,3852.983
112,Adelaide,43.202
112,Brisbane,66.388
112,Melbourne,244.782
112,Sydney,188.71599999999998
113,APLNG,3886.4139999999998
113,Adelaide,46.389
113,Brisbane,80.036
113,Melbourne,284.459
113,Sydney,187.833
114,APLNG,3720.6929999999998
114,Adelaide,40.323
114,Brisbane,78.493
114,Melbourne,248.746
114,Sydney,165.046
115,APLNG,3787.056
115,Adelaide,41.546
115,Brisbane,70.321
115,Melbourne,244.165
115,Sydney,147.983
116,APLNG,3761.692
116,Adelaide,52.194
116,Brisbane,77.451
116,Melbourne,417.794
116,Sydney,189.72799999999998
117,APLNG,3756.118
117,Adelaide,46.968999999999994
117,Brisbane,75.198
117,Melbourne,419.49
117,Sydney,205.283
118,APLNG,3659.8900000000003
118,Adelaide,44.237
118,Brisbane,72.89
118,Melbourne,388.634
118,Sydney,213.516
119,APLNG,3594.98
119,Adelaide,54.906000000000006
119,Brisbane,83.916
119,Melbourne,458.834
119,Sydney,243.851
120,APLNG,3681.546
120,Adelaide,54.686
120,Brisbane,84.68
120,Melbourne,347.729
120,Sydney,239.5
121,APLNG,3787.399
121,Adelaide,58.933
121,Brisbane,85.711
121,Melbourne,278.83200000000005
121,Sydney,233.103
122,APLNG,3700.7709999999997
122,Adelaide,65.967
122,Brisbane,88.004
122,Melbourne,294.53700000000003
122,Sydney,231.43300000000002
123,APLNG,3736.168
123,Adelaide,62.655
123,Brisbane,82.523
123,Melbourne,338.185
123,Sydney,234.16500000000002
124,APLNG,3744.257
124,Adelaide,52.081
124,Brisbane,68.635
124,Melbourne,431.438
124,Sydney,219.86800000000002
125,APLNG,3678.728
125,Adelaide,51.963
125,Brisbane,66.766
125,Melbourne,414.752
125,Sydney,232.99
126,APLNG,3600.3289999999997
126,Adelaide,63.30799999999999
126,Brisbane,72.326
126,Melbourne,512.794
126,Sydney,261.967
127,APLNG,3637.6710000000003
127,Adelaide,70.07300000000001
127,Brisbane,122.461
127,Melbourne,447.85499999999996
127,Sydney,269.846
128,APLNG,3652.634
128,Adelaide,67.011
128,Brisbane,124.25
128,Melbourne,494.399
128,Sydney,265.006
129,APLNG,3603.609
129,Adelaide,76.468
129,Brisbane,133.765
129,Melbourne,505.01099999999997
129,Sydney,271.827
130,APLNG,3596.1
130,Adelaide,76.918
130,Brisbane,108.394
130,Melbourne,544.024
130,Sydney,275.431
131,APLNG,3489.537
131,Adelaide,60.807
131,Brisbane,77.063
131,Melbourne,458.54200000000003
131,Sydney,250.79100000000003
132,APLNG,3606.175
132,Adelaide,59.624
