facilityname,facilityid,facilitytype,capacitytype,receiptlocation,ReceiptLocationName,deliverylocation,DeliveryLocationName,capacitydescription,flowdirection,capacityquantity,effectivedate,description,LastUpdated
Windibri,540069,PROD,MDQ,-1,,-1,,,NONE,147.000,25 Mar 2026 00:00:00,This capacity is the amount of gas that the Windibri production facility is able to process.,2026/03/23 09:07:28
Woleebee Creek,540087,PROD,MDQ,-1,,-1,,,NONE,761.000,25 Mar 2026 00:00:00,This capacity is the amount of gas that the Woleebee Creek production facility is able to process.,2026/03/23 09:07:28
Bolivar,555008,BBGPG,MDQ,-1,,-1,,,NONE,33.600,26 Mar 2026 00:00:00,no change to initial registry,2026/03/26 16:29:51
DDPS,544027,BBGPG,MDQ,-1,,-1,,,NONE,150.000,26 Mar 2026 00:00:00,nameplate rating of GPG,2026/03/26 12:52:07
Ladbroke Grove PS,555086,BBGPG,MDQ,-1,,-1,,,NONE,24.000,26 Mar 2026 00:00:00,nameplate rating of GPG,2026/03/26 12:52:07
Mortlake PS,530063,BBGPG,MDQ,-1,,-1,,,NONE,150.000,26 Mar 2026 00:00:00,nameplate rating of GPG,2026/03/26 12:52:07
Osborne,555033,BBGPG,MDQ,-1,,-1,,,NONE,53.300,26 Mar 2026 00:00:00,nameplate rating of GPG,2026/03/26 12:52:07
Quarantine Power Station,555087,BBGPG,MDQ,-1,,-1,,,NONE,135.000,26 Mar 2026 00:00:00,nameplate rating of GPG,2026/03/26 12:52:07
Roma Power Station,540120,BBGPG,MDQ,-1,,-1,,,NONE,19.200,26 Mar 2026 00:00:00,nameplate rating of GPG,2026/03/26 12:52:07
Smithfield Energy Facility,522004,BBGPG,MDQ,-1,,-1,,,NONE,36.000,26 Mar 2026 00:00:00,no change to initial registry,2026/03/26 16:31:02
Uranquinty Power Station,522047,BBGPG,MDQ,-1,,-1,,,NONE,180.000,26 Mar 2026 00:00:00,nameplate rating of GPG,2026/03/26 12:52:07
PVP,580070,PIPE,MDQ,1808030,Palm Valley Interconnect Receipt Point,1808049,Ron Goodin Power Station delivery point,Maximum daily capacity of the Palm Valley Pipeline,NONE,16.000,30 Mar 2026 00:00:00,Current nameplate capacity of the Palm Valley Pipeline,2026/03/30 02:59:07
APLNG Pipeline,540093,PIPE,MDQ,1404048,DDP to APLNG Pipeline,1404050,Curtis Island,Standing Capacity on Facility,NONE,1760.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
B2PL,540071,PIPE,MDQ,1404235,DAA-B2PL,1404241,WIN-B2PL,"80.5km between Windibri - Daandine and upstream pressure constraint of 6.5MPa, the max flow is approximately 5955001sm3/day. At typical HV this equates to a nameplate rating of 219.144 TJ/day.",NONE,219.144,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 11:00:12
Combabula,540094,PROD,MDQ,-1,,-1,,,NONE,305.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Condabri Central,540080,PROD,MDQ,-1,,-1,,,NONE,195.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Condabri North,540090,PROD,MDQ,-1,,-1,,,NONE,185.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Condabri South,540086,PROD,MDQ,-1,,-1,,,NONE,190.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Eurombah Creek,540089,PROD,MDQ,-1,,-1,,,NONE,185.000,31 Mar 2026 00:00:00,Standing Capacity,2026/03/31 17:33:27
Hallett,555029,BBGPG,MDQ,-1,,-1,,,NONE,82.086,31 Mar 2026 00:00:00,Capacity under normal operating conditions.,2026/03/18 16:01:08
Jeerelang,533161,BBGPG,MDQ,-1,,-1,,,NONE,163.680,31 Mar 2026 00:00:00,Capacity under normal operating conditions.,2026/03/18 16:08:42
Loy Yang B,533163,BBGPG,MDQ,-1,,-1,,,NONE,146.000,31 Mar 2026 00:00:00,Large User Facility,2026/03/20 14:25:58
